id	name	industries	investors	value_usd	last_funding_type	founded_date	num_employees	website	social_media_links	monthly_visits	about	address	country_code	cb_rank	full_description	image
temporall	Temporall	Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning	Outsized Ventures	2458040	seed	2017-01-01	11-50	https://temporall.com/	https://www.linkedin.com/company/temporall/about/, https://twitter.com/temporalluk?lang=en	NULL	Temporall provides an AI and analytics-based platform to give key performance insights.	London, England, United Kingdom, Europe	GB	111880	Temporall provides an AI and analytics-based platform to give key performance insights to leadership teams. Temporall sits at the intersection of enterprise software and organisational science, bringing the very best of technology and human expertise to support our clients’ strategic needs.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/faz0cc4qghbufexghrva
fin-tech-sandbox	FinTech Sandbox	Financial Services, FinTech, Non Profit	Global Atlantic	150000	grant	2014-01-01	11-50	http://fintechsandbox.org/	https://www.linkedin.com/company/fintech-sandbox, https://twitter.com/FinTechSandbox	585	Enabling FinTech entrepreneurs to build robust products through free access to quality financial data.	Boston, Massachusetts, United States, North America	US	15137	"FinTech Sandbox is a Boston-based nonprofit that helps FinTech startups around the world build great products. The cost of financial data is a significant barrier for FinTech entrepreneurs. It provides critical data access and development resources to FinTech entrepreneurs around the world.

The company helps entrepreneurs grow their businesses by offering free or deeply discounted access to a robust set of data feeds and APIs, customer introductions, cloud hosting solutions, a vibrant community of entrepreneurs, mentors, data partners, potential investors, potential customers and service providers who simply want to help them succeed. It was founded in 2014 and is headquartered in Boston, Massachusetts, United States"	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1484347876/yzbpvljkz2ovzdlt780g.png
h-farm	H-FARM	B2B, Blockchain, Fashion, FinTech, Food and Beverage, Internet of Things, Retail, SaaS, Tourism, Travel	Veneto Sviluppo, Renzo Rosso, Atlante Seeds	2088688	post_ipo_equity	2005-01-01	501-1000	http://www.h-farm.com/en/	https://www.facebook.com/hfarmspa/, https://www.linkedin.com/company/h-farm/, https://twitter.com/hfarmspa	30947	H-FARM is an innovative platform set up in 2005 to help entrepreneurs launch new initiatives and support the digitalisation of Corporates	Roncade, Veneto, Italy, Europe	IT	24770	"Each year H-FARM runs industry-focused accelerators with the aim to select, support and invest in emerging early-stage and market-ready startups. All programs take place in H-Farm Campus, an innovation hub where selected startups experience an immersive 4-month program, surrounded by ventures at different stages, corporations, business leaders, mentors and investors.

H-FARM provides to each startup an all-inclusive investment package of seed investment, room&board, working facilities, acceleration services: mentorship, workshops & seminars, deals from tech partners, business network, Demo Day.

Our Accelerators are supported by a world-class network of Industry Partners to give startups privileged access to these industry leaders: our objective is to reinforce the relationship between startups and corporates and provide mutual benefits for both parties.

Moreover, trough its Venture Capital Arm, H-FARM invest in European startups with global ambitions in the fields of SaaS and consumer internet."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1397190704/e18272e8cf01eaf6ccaa8cd97545ad03.png
acretrader	AcreTrader	Agriculture, AgTech, Asset Management, FinTech, Real Estate Investment	Drive Capital, RZC Investments, Narya Capital, Anthemis, Revel Partners, Revolution’s Rise of the Rest Seed Fund, Jump Capital, Revolution’s Rise of the Rest Seed Fund, Jump Capital, Narya Capital	82472750	series_unknown	2018-09-01	51-100	https://www.acretrader.com	https://www.facebook.com/acretraderinc, https://www.linkedin.com/company/acre-trader, https://twitter.com/acretraderinc	52150	AcreTrader is a technology company connecting investors, land, and farmers.	Fayetteville, Arkansas, United States, North America	US	55407	"AcreTrader is an agricultural real estate investing platform that helps buyers to buy shares of farmland through an online platform. AcreTrader provides transparency, flexibility, and ease of use to people wanting to invest in farmland while handling all aspects of administration and property management, from insurance and accounting to working with local farmers and improving soil sustainability.
The company was founded in 2018 and headquartered in Fayetteville, Arkansas."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/shbidr8rgtyhbgzmb8av
caddi	CADDi	Artificial Intelligence (AI), Information Services, Information Technology, Manufacturing, Software, Supply Chain Management	SMBC Venture Capital, Minerva Growth Partners, DCM Ventures, Green Co-Invest Investment, Global Brain Corporation, WiL (World Innovation Lab), Mitsubishi UFJ Capital, Sumitomo Mitsui Trust Investment, Globis Capital Partners, DST Global	163856695	series_c	2017-11-01	501-1000	https://caddi-inc.com	https://www.facebook.com/CADDi.Inc, https://www.linkedin.com/company/caddiinc, https://x.com/caddi_pr	NULL	CADDi is an online ordering platform that tracks industrial products for the manufacturing business.	Kuramae, Tokyo, Japan, Asia	JP	3278	CADDi is an online ordering platform that tracks industrial products for the manufacturing business. They provide Realize DX throughout the supply chain by offering both goods and software. It enables businesses to reduce procurement expenses, improve QCD, and expand capacity.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/jhmeayy43fiiz073i1fl
personetics-technologies	Personetics	Analytics, Finance, Financial Services, FinTech, Information Technology	Nyca Partners, Lightspeed Venture Partners, Thoma Bravo, Warburg Pincus, Viola Ventures, Sequoia Capital Israel, Sequoia Capital, Lightspeed Venture Partners, Viola Ventures, Nyca Partners	178000000	private_equity	2010-01-01	101-250	http://www.personetics.com	http://www.facebook.com/Personetics, http://www.linkedin.com/company/personetics-technologies, http://twitter.com/personetics	250695	Personetics is a provider of data-driven personalization and customer engagement tools for banks and financial services companies.	New York, New York, United States, North America	US	44952	Personetics Technologies offers a predictive interaction solution for financial institutions to deliver personalized customer experiences across online, mobile, and tablet platforms. The solution comes pre-loaded with a comprehensive library of banking-specific predictions and solutions and leverages a real-time analytics engine to accurately predict customer intent. The company gives financial institutions the power to convert passive digital adopters into active digital users while improving their overall customer experience and reducing operational costs for the institution. Founded in 2010, the company is based in White Plains, New York.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/d6tiysthfeo8cvmpukrv
investing-com	Investing.com	Finance, FinTech, Insurance, News, Social Media, Stock Exchanges	NULL	300000	seed	2007-09-01	251-500	http://www.investing.com	http://www.facebook.com/investingdotcom, https://www.linkedin.com/company/investing-com, http://twitter.com/investingcom	183138654	Investing.com is a source for tools and information relating to the financial markets.	Nicosia, Nicosia, Cyprus, Europe	CY	22123	"Founded in 2007, Investing.com is a definitive source for tools and information relating to the financial markets such as real-time quotes and streaming charts, up-to-date financial news, technical analysis, brokers directory & listings, an economic calendar, and tools & calculators. The site provides in-depth information on Currencies, Indices & Stocks, Futures and Options, Commodities, and Rates & Bonds. With a growing readership worldwide, Investing.com is a leading global financial portal that is constantly committed to launching innovative features and sections to ensure an optimal one-stop source for its readers.

Investing.com has over 200 employees in offices throughout the world including Cyprus, Madrid and Tel Aviv . With over 10,000,000 unique users per month, and since being founded in 2007, has become among the top 20 financial sites worldwide."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1397192181/bc47df8209e8fdc0fa8befb6dfc41ae2.png
ninja-trader	NinjaTrader	FinTech, Software	DRW Venture Capital, Long Ridge Equity Partners	NULL	private_equity	2003-01-01	251-500	http://www.ninjatrader.com	http://www.facebook.com/NinjaTrader, https://www.linkedin.com/company/ninjatrader-group-llc, http://twitter.com/NinjaTrader	2186516	NinjaTrader Group, LLC together with its subsidiaries provides award winning trading software and brokerage services to active traders.	Chicago, Illinois, United States, North America	US	20313	"NinjaTrader Group, LLC together with its subsidiaries provides award winning trading software and brokerage services to active traders.

Founded in 2003, NinjaTrader has evolved into an industry leader supporting over 1 Million traders around the globe with best-in-class technology, deep discount commissions and world class support."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/ifcyes0giawminzqnmmy
international-organization-for-standardization	International Organization for Standardization	Business Development, News, Publishing	NULL	NULL	NULL	1947-02-23	101-250	http://www.iso.org	https://www.facebook.com/isostandards, https://www.linkedin.com/company/isostandards, https://twitter.com/isostandards	1884202	International Organization for Standardization is a development organization that develops and publishes guidelines.	Vernier, Geneve, Switzerland, Europe	CH	175470	International Organization for Standardization is an organization that develops and publishes voluntary and market-relevant standards that support and provide solutions to global challenges. The organization develops and publishes standards in all technical and nontechnical fields other than electrical and electronic engineering.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1410873495/kxtjl3eizc2vadopnlbx.png
stellerro	Stellerro	Artificial Intelligence (AI), Blockchain, Machine Learning	NULL	NULL	NULL	2018-01-01	NULL	https://www.stellerro.com/	https://www.linkedin.com/company/stellerro-ltd/	1	Stellerro is the first STO predictive analytics AI Index, based on Optimized Tokenomics via Reinforced Learning and Simulating modeling.	Tel Aviv, Tel Aviv, Israel, Asia	IL	2584096	Stellerro is the first STO predictive analytics AI Index, based on Optimized Tokenomics via Reinforced Learning and Simulating modeling.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/hpruewxf80yuidrp0zps
