id	name	industries	investors	value_usd	last_funding_type	founded_date	num_employees	website	social_media_links	monthly_visits	about	address	country_code	cb_rank	full_description	image
innovation-enterprise	Innovation Enterprise	Digital Media, Enterprise	NULL	NULL	NULL	2009-01-01	51-100	https://www.theinnovationenterprise.com	https://www.facebook.com/Innovation-Enterprise-110017192431042, https://www.linkedin.com/company/ie---innovation-enterprise, https://twitter.com/iegroup	331	The leading global voice in enterprise innovation	New York, New York, United States, North America	US	774782	"Innovation Enterprise are a business media company specializing in enterprise innovation. They bring their exceptional cross-industry knowledge to the business community through a combination of digital media and live summits, providing organizations with cutting-edge insights to drive growth in the constantly changing business environment.

Through their key channels - Big Data, Analytics, Strategy, Innovation, Digital, Finance, & Operations - they connect industry leaders across the business spectrum, from leading Fortune 500 companies to disruptive and exciting new startups, facilitating the sharing of ideas through webinars, articles, white papers, and on-demand video content.

They also offer a range of additional media products, including lead generation services, custom events and custom research to fortune 500 clients."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1439178328/taonzvjhrefskt0zqpsd.png
greater-zurich-area	Greater Zurich Area	Location Based Services, Marketing, Trading Platform	NULL	NULL	NULL	1999-01-01	11-50	https://www.greaterzuricharea.com	https://www.facebook.com/greaterzuricharea, https://www.linkedin.com/company/greater-zurich-area, https://twitter.com/GreaterZurich	15365	Greater Zurich Area AG is the official Investment Promotion Agency for the economic region of Zurich, Switzerland.	Zürich, Zurich, Switzerland, Europe	CH	760913	"As the international contact partner for promotion and marketing of the Greater Zurich Area economic region, Greater Zurich Area AG (GZA) acts as a mediator between international companies looking to settle in the area and local interests and requirements.


GZA views itself as a service-oriented competency center with a clear focus on international companies that can offer high and especially sustainable value for the Zurich economic region."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/nkdliqh9nexyufcvibkx
mad-mimi	Mad Mimi	Computer, Email, Email Marketing	NULL	110000	seed	2007-01-01	11-50	http://madmimi.com	http://www.facebook.com/madmimi, http://www.linkedin.com/company/madmimi, http://twitter.com/madmimi	46923	Mad Mimi is an email marketing service enabling users to create, send and track email campaigns without using templates.	Brooklyn, New York, United States, North America	US	234377	Mad Mimi is an email marketing service that allows users to create, send and track email campaigns in a fresh novel way without using templates. Founded in 2007 by Gary Levitt and developed by Tobie Langel, Dave Hoover and Jeff Patton, Mad Mimi was launched in April of 2008.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1397186093/b65215c2b522ace75cc16144be3c5527.png
owl	Owl	Finance, Financial Services, FinTech, Personal Finance	Empactful Capital LLC, Nick Ducoff	NULL	series_unknown	2012-01-01	1-10	http://owlinvest.com	https://www.linkedin.com/company/owl-invest/, https://twitter.com/owlinvest	NULL	Owl is a online financial advisors accessible and affordable to everyone, no matter the individual's current financial situation.	Chicago, Illinois, United States, North America	US	2467800	"Owl offers an application that enables its users to find information about events and buy tickets.

Owl also enables its users to book transportation to the locations where the events are. It also facilitates contests that enable its customers to win tickets for events.

Owl was founded in September 2015 and is headquartered in Villeurbanne, France."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1397186258/e9ab73afdc0d65d5e08ebfbec627ea7a.png
celsius-network	Celsius Network	Blockchain, Consumer Lending, Cryptocurrency, Financial Services, FinTech	Caisse de Depot et Placement du Quebec, WestCap, tokentus investment AG, gumi Cryptos Capital (gCC), Tether Operations Limited, Alpha Transform Holdings, Disrupt Ventures, Kyle Wang	903796592	corporate_round	2017-01-01	501-1000	https://celsius.network	https://www.facebook.com/celsiusnetwork, https://www.linkedin.com/company/celsiusnetwork, https://www.twitter.com/celsiusnetwork	254046	Celsius Network is a blockchain-based lending platform that is accessible through a free mobile app.	London, England, United Kingdom, Europe	GB	61706	"Celsius is a blockchain-based marketplace platform where membership provides access to curated financial services that are not available through traditional financial institutions. Celsius specializes in the fields of consumer lending, fintech, and financial services.

It was founded in 2017 and headquartered in London, England."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/qovhku6bq54xzx0m8qc3
globetrotr-com	GlobeTrotr.com	Adventure Travel, Mobile, Social Media, Travel	Jeffrey Silverman	50000	angel	2012-01-01	1-10	http://www.globetrotr.com	http://twitter.com/globetrotr_com	NULL	Globetrotr.com is a location-based social discovery application for the travel activities and tour market.	New York, New York, United States, North America	US	805354	Globetrotr is a social location based discovery application for the Travel Activities and Tour Market	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1397185055/c4463747aaaf066fcfaa6f9ce4bf7410.jpg
gate2shop	Gate2Shop	E-Commerce, Payments	NULL	NULL	NULL	2007-01-01	51-100	http://www.g2s.com	NULL	NULL	Gate2Shop provides turn-key solutions for small- to medium-sized e-commerce businesses.	London, England, United Kingdom, Europe	GB	323621	"Gate2Shop is an ecommerce company that specializes in technology-based payment solutions. The company optimize conversion and increase revenue through smart payments with a global reach. Gate2Shop utilizes SafeCharge technologies, a payment provider specializing in fraud prevention and risk management.

It offers a wide array of pre-integrated international payment methods. The company provides services such as risk management, account management, tech support, and billing support. Gate2Shop is equipped with technologies such as worldwide payments, mobile payments, checkout optimization, and data analytics.

Gate2Shop is based in London, England."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1397185464/b61c89cf4e4506439bdef58bc9249f7d.png
defi-ventures	WonderFi	Bitcoin, Blockchain, Ethereum, Finance, Information Technology, Software	Alameda Research, Canaccord Genuity Group, Alameda Research, Kevin O'Leary, Argo Blockchain, O'Leary Ventures, Bigg Digital Assets, Animal Capital, Leonard Latchman, Josh Richards	83781218	post_ipo_equity	2021-02-01	51-100	https://www.wonder.fi	https://www.linkedin.com/company/wonderfi, https://www.twitter.com/WonderFi	9966	WonderFi is a technology company that provides individuals with access to financial services through DeFi.	Toronto, Ontario, Canada, North America	CA	1347	WonderFi is a technology company with the mission of creating better access to DeFi through the core principles of simplicity and education. WonderFi’s platform will serve as a trusted gateway to the new financial system and it aims to enable and empower individuals to use DeFi in a streamlined way.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/fn7xole0cyvwzmdkccg5
apex-clearing-corporation	APEX Clearing Corporation	Financial Services	NULL	NULL	NULL	2012-01-01	101-250	https://www.apexclearing.com/	https://www.facebook.com/apexclearing, https://www.linkedin.com/company-beta/3008681/?pathWildcard=3008681	78150	Apex is an independent, full-service clearing firm helping power the digital revolution in financial services.	Dallas, Texas, United States, North America	US	153732	Apex is an independent, full-service clearing firm helping power the digital revolution in financial services.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1492328677/l824qldpymuqebfh8lgi.png
hometogo	HomeToGo	Marketplace, Travel, Vacation Rental	ABACON CAPITAL, Global Founders Capital, Perpetual Growth, Princeville Capital, Lakestar, DN Capital, Acton Capital, Insight Partners, Insight Partners, DN Capital	176652718	series_unknown	2014-01-01	501-1000	https://www.hometogo.com/	https://www.facebook.com/hometogo, https://www.linkedin.com/company/hometogo, https://twitter.com/hometogo	961438	HomeToGo is a marketplace with the world's largest selection of vacation rentals	Berlin, Berlin, Germany, Europe	DE	1467	"HomeToGo has the world's largest selection of vacation rentals, listing millions of offers from thousands of trusted partners, including Airbnb, Booking.com, Vrbo and TripAdvisor. From apartments, cabins, boats, castles, hotels, hostels, and everything in between, HomeToGo combines price, destination, dates and amenities to find the perfect accommodation for any trip worldwide.

Founded in 2014, HomeToGo employs more than 350 people and manages 23 local apps & websites across Europe, North America, South America, Australia and Asia-Pacific. HomeToGo also operates brands such as Tripping.com and Wimdu. To learn more, visit www.hometogo.com or download the HomeToGo app.

HomeToGo's investors include Insight Venture Partners, Lakestar, Princeville Global, DN Capital, Acton Capital Partners, Global Founders Capital, Perpetual Investors, and mojo.capital,. The company has raised more than $170 million in total funding."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/kobuq9o8ycirlunhnu77
ibacon	Ibacon	Environmental Consulting, Market Research, Pharmaceutical	NULL	NULL	NULL	1994-01-01	51-100	https://www.ibacon.com/	https://www.linkedin.com/company/ibacon-gmbh/	NULL	Ibacon is an independent contract research institute that serves the global chemical and pharmaceutical industry.	Roßdorf, Hessen, Germany, Europe	DE	693826	Ibacon is an independent contract research institute that serves the global chemical and pharmaceutical industry.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/npspooefpo10s5bjzcma
citi-ventures	Citi Ventures	Finance, Financial Services, Venture Capital	NULL	NULL	NULL	2008-01-01	51-100	https://www.citi.com/ventures	https://www.twitter.com/citiventures	88433392	Citi Ventures invests in and collaborates with startups that are transforming financial services.	San Francisco, California, United States, North America	US	5433	Citi Ventures utilizes Citi's resources to support individuals, businesses, and communities amid technological changes. Based in San Francisco with offices in New York, London, Palo Alto, Tel Aviv, and Singapore, Citi Ventures focuses on discovering new value by exploring, developing, and investing in innovative ideas, and collaborating with Citi employees, clients, and the broader innovation community.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/bcp7p56w26xkxkbiqpkw
expii-inc	Expii	Crowdsourcing, Education, Internet, Social Media, Video	Rothenberg Ventures, Adam D’Angelo, Great Oaks Venture Capital, Timothy Abbott	1310000	seed	2014-01-07	11-50	https://www.expii.com	http://www.facebook.com/ExpiiInc, http://www.linkedin.com/company/expii-inc-, http://twitter.com/ExpiiInc	99358	Crowdsourced interactive learning	Pittsburgh, Pennsylvania, United States, North America	US	325584	"The Interactive Wikipedia is here. 

Expii makes it easy for everyone to create and rate interactive lessons which simulate one-on-one tutor experiences. Think rapid-fire Q&A, video, and more. We're crowd-sourcing a one-stop destination for the Internet's most lively educational content. Got a Calculus chapter to read? Expii will have the best take on the topic, as rated by the world. 

On top of this base, we are constructing a network of value added services, which will bring the human experience into online learning."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1434496047/h9bmen9wxpkkpmqpi8em.png
imbaco-furnishers	IMBACO Furnishers	NULL	NULL	NULL	NULL	2009-01-01	101-250	NULL	https://www.linkedin.com/company/imbaco-furnishers/about	NULL	IMBACO Furnishers is a furniture and interior design company.	NULL	NULL	3576514	IMBACO Furnishers is a furniture and interior design company.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/h6wr1saldtgzzocwsvx3
amberdata	Amberdata	Blockchain, Cryptocurrency, Developer APIs, Developer Platform, FinTech	NAB Ventures, Aspenwood Ventures, boldstart ventures, CTC Venture Capital, Rovida Kruptos Assets, Nasdaq Ventures, Knollwood Investment Advisory, Citi, Nexo, Coinbase	47000000	series_b	2017-08-01	51-100	http://www.amberdata.io	https://www.facebook.com/amberdata.io, https://www.linkedin.com/company/amberdata, https://twitter.com/Amberdataio	14471	Amberdata is a blockchain and cryptoasset data company that offers tools for exchanges, wallets, traders, and developers.	Miami, Florida, United States, North America	US	34504	"Amberdata is defining the Cryptoeconomics data provider category. By combining validated blockchain and crypto market data from the leading crypto exchanges into a unified platform and API, Amberdata enables customers to build data-powered applications to develop and maintain an edge over their competition.

The company was founded in 2017 in Palo alto, California led by Shawn Douglass."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/vyxcs9ljdxau8jtz0aia
pen-and-paper-ai	Pen and Paper AI	Generative AI, Information Technology, Software	NULL	NULL	NULL	2022-10-01	1-10	https://www.penandpaper.ai/	https://www.linkedin.com/company/pen-and-paper-ai/	NULL	Pen and Paper AI is an end-to-end content management system that enables users to create AI content.	San Francisco, California, United States, North America	US	1521082	Pen and Paper AI is an end-to-end content management system that enables users to create AI content. The company was founded in 2023 and is based in San Francisco, CA.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/vc0o6zjxgsky2fiebjms
payzen-6da3	PayZen	Financial Services, FinTech, Health Care, Payments, Software	Viola Credit, New Enterprise Associates, Viola Ventures, SignalFire, 7wire Ventures, 7wire Ventures, Picus Capital, Lorimer Ventures, SignalFire, Viola Credit	472000000	debt_financing	2019-07-01	51-100	https://payzen.com	https://www.facebook.com/PayZen-105833744121330, https://www.linkedin.com/company/payzen, https://mobile.twitter.com/payzencare	52002	PayZen is a healthcare fintech startup tackling healthcare affordability by using financial technology, AI, and machine learning.	San Francisco, California, United States, North America	US	47395	"PayZen is a healthcare fintech startup that aims to tackle the growing patient payment responsibility problem. The mission-driven company together with its superior technology and a new approach enables patients to pay their out-of-pocket medical bills over time with convenience and transparency. While Medical Providers should be able to focus on providing healthcare services rather than financial services. The company achieves better financial outcomes for both patients and providers through Smart Medical Payment Plans And Non-Recourse Patient Financing.

Ariel Rosenthal, Itzik Cohen, and Tobias Mezger co-founded the company in San Francisco, California in 2019."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/lm9br278jwfisnhndjft
newired	Newired	CRM, Customer Service, Enterprise Resource Planning (ERP), Information Technology, Marketing, SaaS, Software, Training	NULL	NULL	NULL	2017-01-01	11-50	https://www.newired.com/	https://www.facebook.com/newired/, https://www.linkedin.com/company/newired-srl/, https://twitter.com/newired_	375	We build 100% code-free tools to help companies train and onboard users on web-based applications.	Torino, Piemonte, Italy, Europe	IT	382194	Newired empowers companies to speed up user onboarding on virtually any web application, by making the user learn and perform on the go. We shall not forget that digital is, first and foremost, for people. Our 100% code-free solutions help to increase user motivation both because the user is at the center of our software delivery and development and because Newired helps transform virtually any web application into a more user-friendly environment.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/khrtank6da82onxtsvln
simplex-3	Simplex	Bitcoin, Cryptocurrency, E-Commerce, Financial Services, FinTech, Fraud Detection, Payments	Accomplice, Korea Investment Partners, iAngels, Yaron Lemelbaum, DRW Venture Capital, FundersClub, Bitmain, Yaron Lemelbaum, iAngels, Office of the Chief Scientist	19000000	series_unknown	2014-04-28	101-250	http://www.simplex.com	https://www.facebook.com/Simplex.cc, https://www.linkedin.com/company/simplexcc, https://twitter.com/SimplexCC	94440	Simplex is an EMI licensed Fintech company providing fraudless payment processing solutions to online merchants	Giv'atayim, Tel Aviv, Israel, Asia	IL	16011	"Fully regulated as a financial institution, Simplex processes credit card payments with a 100% fraud protection guarantee – in case of a fraud chargeback, the merchant gets paid by Simplex. 
Utilizing its cutting-edge fraud prevention solution and AI technology, Simplex blocks fraudulent users and allows legitimate users to complete payments, thereby, increasing conversion rates and enabling merchants to focus on their business growth. In today's banking echo-system Crypto-related businesses are underserved. Simplex enables personal individuals and businesses to get an EU IBAN account for their banking activity having all the necessary payment account functions"	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/hqfcxlhxremrldahalle
women-in-identity	Women in Identity	Cyber Security, Identity Management, Information Technology, Non Profit, Software	NULL	NULL	NULL	2017-01-01	1-10	https://womeninidentity.org/	https://www.linkedin.com/company/women-in-identity/, https://twitter.com/WomeninID	216	Women in Identity is an open forum for women in identity to bounce ideas off each other, collaborate, and gain support.	London, England, United Kingdom, Europe	GB	504211	Women in Identity is an open forum for women in identity to bounce ideas off each other, collaborate, and gain support. It is our hope that this page will be the beginning steps to provide mentorship, bounce ideas off each other, and push each other to gain the confidence to speak at conferences. The idea is be more visible in the identity community with a whole community of women backing you.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/kurc1ksuexpyzdvfccng
cognizant-technology-solutions	Cognizant	Consulting, Industrial Automation, Information Technology, Software, Software Engineering	Summit Financial Wealth Advisors	241000	post_ipo_equity	1994-01-26	10001+	https://www.cognizant.com	https://www.facebook.com/Cognizant, https://www.linkedin.com/company/cognizant/, https://x.com/cognizant	2844983	Cognizant is a professional services company that helps clients alter their business, operating, and technology models for the digital era.	Teaneck, New Jersey, United States, North America	US	13566	Cognizant (Nasdaq-100: CTSH) is a  professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 195 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/ejnnbcqvqqvxsu9ef1ud
percepto	Percepto	Drones, Enterprise, Industrial Automation, Robotics, Software	Spider Capital, U.S. Venture Partners, Koch Disruptive Technologies, Zimmer Lucas Partners, Delek Group, Atento Capital, Federal Aviation Administration, Arkin Holdings, State of Mind Ventures, Delek Group	139500000	series_c	2014-01-01	101-250	http://percepto.co	https://www.facebook.com/perceptodrones, https://www.linkedin.com/company/perceptoautonomousdrones, https://www.twitter.com/perceptoDrones	8535	Percepto is a developer of autonomous drone technology for surveillance and inspections.	Modi'in, HaMerkaz, Israel, Asia	IL	9067	"Percepto is a developer of autonomous drone technology for inspection and surveillance.

The company is at the forefront of redefining how industrial sites and critical infrastructure are holistically inspected and monitored, harnessing remote robotics to autonomously collect, aggregate, and analyze visual data.

Leveraging its experience with Percepto Sparrow, the first deployed drone-in-a-box solution on the market, Percepto introduced Percepto AIM (Autonomous Inspection and Monitoring), the first end-to-end autonomous inspection and monitoring platform. Percepto AIM empowers the remote operation center of the future to assess risk, minimize downtime, drive efficiency, increase safety, and reduce operational costs."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/hoinpmjzr6rkhtayqlhm
lemonade	Lemonade	Artificial Intelligence (AI), Financial Services, Insurance, InsurTech	General Catalyst, Veligera Capital, G Squared, Mindrock Capital, QD Ventures, Inventure Partners, Silverbacks Holdings, Launchbay Capital, OurCrowd, eBrands	618500000	post_ipo_equity	2015-01-01	1001-5000	https://www.lemonade.com	https://www.facebook.com/Lemonade, https://www.linkedin.com/company/lemonade-inc-, https://www.twitter.com/lemonade_inc	2194702	Lemonade is a digital insurance company that uses artificial intelligence and behavioral economics.	New York, New York, United States, North America	US	7071	"Lemonade operates as a full-stack insurance company powered by AI and behavioral economics and driven by social good. It is a licensed insurance carrier, offering homeowners and renters insurance. Lemonade replaces brokers and bureaucracy with bots and machine learning, delivering zero paperwork and instant everything.  The company uses artificial intelligence and behavioral economics to set rates for the homes and renters it insures. 

Lemonade was founded in Tel Aviv, Israel, in 2015 and is headquartered in New York, NY, United States."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/tffljzr6aqaataapbcux
colorchip	ColorChip	Manufacturing, Optical Communication, Telecommunications	Hua Ventures, CIRTech Fund, Gemini Israel Ventures, Vintage Investment Partners, CIRTech Fund, Scale-Up, BRM Capital, Israel Growth Partners, Viola Credit, HGL Capital	152980000	series_unknown	2001-01-01	101-250	http://www.color-chip.com	http://www.facebook.com/pages/ColorChip-SystemOnGlass/241051492650084, http://www.linkedin.com/company/colorchip	93	ColorChip designs and manufactures optical sub-systems and components for the datacom and telecom markets.	Caesarea, Hefa, Israel, Asia	IL	39184	ColorChip designs and manufactures optical sub-systems and components for the Datacom and Telecom markets. These sub-systems and components are based on Application Specific Photonic Integrated Circuits (ASPICs) that leverage the company's unique and robust PLC technology.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1408279185/wf7uo018oebkmjemi6o1.jpg
all-space	ALL.SPACE	Satellite Communication	Seraphim Space, BOKA Group, Promus Ventures, AE Industrial Partners, The Firmament Group, Orbital Ventures, AE Industrial Partners, Seraphim Space, Boeing HorizonX Ventures, The Firmament Group	141000000	series_c	2013-01-01	101-250	http://www.all.space	https://www.linkedin.com/company/allspaceltd, https://twitter.com/allspaceltd	1374	ALL.SPACE has developed the 5th generation smart terminal, capable of linking with all satellites, all networks, in all orbits, all at once.	Reading, Reading, United Kingdom, Europe	GB	51224	"One Device. All Networks. No Compromise. The world’s first smart terminal delivers total communications convergence.

ALL.SPACE, formerly Isotropic Systems, has developed the 5th generation smart terminal, capable of linking with all satellites, all networks, in all orbits, all at once. Our ground-breaking software-defined service enablement platform integrates intelligent routing, edge computing and on-demand services to deliver unprecedented network resilience and application performance. Whether you're on land, sea or air, we ensure that you stay connected.

Our S2000 range is customisable across a range of sizes, Tx/Rx ratios, aperture combinations and scan ranges with up to 8,100 unique configurable options. Our modular architecture allows you to pick the exact terminal configuration to meet your requirements."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/s943ok6c82qnrdptilfy
viola-fintech	Viola FinTech	Finance, Financial Services, FinTech, Venture Capital	NULL	NULL	NULL	2017-01-01	11-50	https://www.viola-group.com/fund/violafintech	https://www.facebook.com/violagroupIL, https://www.linkedin.com/company/violafintech, https://twitter.com/ViolaGroup	NULL	Viola FinTech is a cross-stage venture fund that invests in global fintech companies alongside venture investors.	Herzliya, Tel Aviv, Israel, Asia	IL	10387	Viola FinTech is a cross-stage venture fund that invests in global fintech companies alongside venture investors. The fund brings together financial institutions and innovative startups to accelerate the modernization and digitization of financial institutions and support the growth of FinTech companies.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/bk4vfyar9bazm7pqtukv
carlease-com	Carlease	Automotive, E-Commerce, Fleet Management	Lightbank	3500000	seed	2017-12-05	11-50	https://www.carlease.com	https://www.facebook.com/carleasecom, https://www.linkedin.com/company/carlease-com, https://twitter.com/carleasecom	3477	Leasing a car has never been easier. You find the perfect car – we’ll find the best financing and deliver to your door.	Chicago, Illinois, United States, North America	US	147179	Carlease is the premier, car leasing experience site, delivering expert, efficient and concierge-level service to help you find the right car, with the right offer, delivered to your door. With rapid technology advances and changing needs of buyers, leasing is quickly becoming the new path to vehicle ownership. Let our team of skilled, unbiased experts take the stress out of finding your next new car. 	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/kd0qaatfioqwu6xulqwj
tapreplay	tapReplay	E-Commerce Platforms, Film, Shopping, TV, Video	NULL	50000	seed	2016-01-01	11-50	http://www.tapreplay.com/	https://www.facebook.com/tapreplay/?fref=ts, https://www.linkedin.com/company/tapreplay?trk=top_nav_home, https://twitter.com/tapreplay	NULL	Empowering the Most Passionate Content Creators to Share Exceptional Experiences on Apple TV	Santa Monica, California, United States, North America	US	301877	"tapReplay is a suite of media tools and services that helps artists build, manage, monetize and grow interactive channels on Apple TV. 
"	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/xzuj8jxdwgrevcpey4ue
dynamovc	Dynamo	Logistics, Robotics, Supply Chain Management, Transportation	NULL	NULL	NULL	2016-03-01	1-10	http://dynamo.vc	https://www.facebook.com/thisisdynamo/, https://www.linkedin.com/company/dynamovc/, https://twitter.com/ThisIsDynamo	3055	Dynamo invests in founders building technology businesses in supply chain and mobility.	Chattanooga, Tennessee, United States, North America	US	3627	"Dynamo is a seed-stage supply chain and mobility fund that supports founding teams building market-defining companies. The firm focuses on pre-seed and seed-stage opportunities and invests only in enterprise business models.

Dynamo Ventures was founded in 2016 and is based in Chattanooga, Tennessee, United States."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/z6lzrw7r2oljgwvnougz
fonbnk	Fonbnk	Blockchain, Cryptocurrency, FinTech, Telecommunications, Web3, Wireless	Adaverse, Kraken Ventures, Unicorn Growth Capital, Hustle Fund, Formless Capital, New Form Capital, Augusto Caceres, Diverse Angels, Techstars, Principle Ventures	3620000	seed	2021-07-06	11-50	https://www.fonbnk.com/	https://www.linkedin.com/company/fonbnk-inc/, https://twitter.com/fonbnk1	107549	Fonbnk is a bridge to Web3 targeting mobile-first cash-based economies.	Dover, Delaware, United States, North America	US	37843	"Fonbnk Inc., at the forefront of fintech, uniquely combines mobile technology with Web3 innovation, transforming digital transactions in emerging markets. Beyond prepaid airtime, the company integrates various familiar mobile payment methods, broadening financial accessibility.

Fonbnk stands out by enabling frictionless, dollarized micropayments for digital goods and services, a boon for global merchants targeting hard-to-reach markets. Access to stablecoins across all major blockchain protocols positions Fonbnk as a gateway to the global digital economy.

The firm’s no-code and low-code dApps and APIs simplify Web3 integration for local developers, easing digital transactions for users. Leveraging over 8 billion prepaid SIM cards and diverse mobile payment systems, Fonbnk connects a vast network of users, retailers, and agents, making Web3 access a reality for anyone capable of mobile transactions. This approach not only drives digital finance growth but also significantly narrows the digital divide in emerging economies."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/548717fbb464bf743317
lean-in	Lean In	Education, Non Profit, Women's	NULL	NULL	NULL	2013-01-01	11-50	http://leanin.org	http://www.facebook.com/leanincommunity, https://www.linkedin.com/company/leaninorg/, http://twitter.com/leaninorg	82361	LeanIn.Org is a nonprofit organization that aims to offer women with inspiration and support to help them achieve their goals.	Palo Alto, California, United States, North America	US	267725	"LeanIn.Org is a nonprofit organization that aims to offer women with inspiration and support to help them achieve their goals. It offers inspiration and support through an online community; free expert lectures; and Lean In Circles: small peer groups who meet regularly to share and learn together.

The organization’s official site features videos and resources, news and articles, inspirational stories, and photo collections.

Lean In is a book published by LeanIn.Org which is focused on encouraging women to pursue their ambitions, and changing the conversation from what they can’t do to what they can do. 

LeanIn.Org was founded by [Sheryl Sandberg](https://www.crunchbase.com/person/sheryl-sandberg) and is based in California, United States."	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/v1397200893/9d3387219f7394878ee54fddf77b703c.png
treasure-data	Treasure Data	Analytics, Big Data, Cloud Computing, Data Management, Marketing Automation, Software	SoftBank, Carbide Ventures, Innovation Network Corporation of Japan, Scale Venture Partners, Dentsu, AME Cloud Ventures, SBI Group, Bill Tai, Sierra Ventures, IT-Farm	288050000	series_unknown	2011-01-01	501-1000	http://www.treasuredata.com	http://www.facebook.com/TreasureData, https://www.linkedin.com/company/treasure-data-inc-, http://twitter.com/TreasureData	69503	Treasure Data is a software development company that develops a cloud-based data analytics platform for data management.	Mountain View, California, United States, North America	US	1543	Treasure Data develops a cloud-based data analytics platform for data management. They store and analyze data from sources including multi-structured web, application, mobile, and sensor data, and make the tools that empower the team to make data a differentiator for the business.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/w5h7xrzpnlealkbrwos1
fintlv-ventures	FinTLV Ventures	Financial Services, FinTech, Insurance, InsurTech	NULL	NULL	NULL	2018-06-30	11-50	http://www.fintlv.com	https://www.linkedin.com/company/fintlv	NULL	FinTLV is an Insurtech VC company that provides financial services.	Tel Aviv, Tel Aviv, Israel, Asia	IL	4217	FinTLV is a global venture capital fund focused primarily on insurtech and Fintech. We back some of the most promising companies in these domains in the US, Europe and Israel and invest across all stages. We help our portfolio with our rich experience in the insurance field and with our global network of tens of insurance and reinsurance companies.	https://images.crunchbase.com/image/upload/c_pad,h_170,w_170,f_auto,b_white,q_auto:eco,dpr_4/uzcldtmnqxchni1rsp5s
